Title,Occurence,Date,"Pay and Leave Holiday Date (if SAT, then FRI if SUN  then MON)",Month,Day,Year,WeekDay
New Year's Day,Year Start,1/1/2011,12/31/2010,1,1,2011,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2011,1/17/2011,1,17,2011,2
Washington's Birthday,Third Monday in Feb,2/21/2011,2/21/2011,2,21,2011,2
Memorial Day,Last Monday in May,5/30/2011,5/30/2011,5,30,2011,2
Independence Day,Annual,7/4/2011,7/4/2011,7,4,2011,2
Labor Day,First Monday in Sept,9/5/2011,9/5/2011,9,5,2011,2
Columbus Day,Second Monday in Oct,10/10/2011,10/10/2011,10,10,2011,2
Veterans Day,Annual,11/11/2011,11/11/2011,11,11,2011,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2011,11/24/2011,11,24,2011,5
Christmas Day,Annual,12/25/2011,12/26/2011,12,25,2011,1
New Year's Day,Year Start,1/1/2012,1/2/2012,1,1,2012,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2012,1/16/2012,1,16,2012,2
Washington's Birthday,Third Monday in Feb,2/20/2012,2/20/2012,2,20,2012,2
Memorial Day,Last Monday in May,5/28/2012,5/28/2012,5,28,2012,2
Independence Day,Annual,7/4/2012,7/4/2012,7,4,2012,4
Labor Day,First Monday in Sept,9/3/2012,9/3/2012,9,3,2012,2
Columbus Day,Second Monday in Oct,10/8/2012,10/8/2012,10,8,2012,2
Veterans Day,Annual,11/11/2012,11/12/2012,11,12,2012,2
Thanksgiving Day,Fourth Thursday in Nov,11/22/2012,11/22/2012,11,22,2012,5
Christmas Day,Annual,12/25/2012,12/25/2012,12,25,2012,3
New Year's Day,Year Start,1/1/2013,1/1/2013,1,1,2013,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2013,1/21/2013,1,21,2013,2
Washington's Birthday,Third Monday in Feb,2/18/2013,2/18/2013,2,18,2013,2
Memorial Day,Last Monday in May,5/27/2013,5/27/2013,5,27,2013,2
Independence Day,Annual,7/4/2013,7/4/2013,7,4,2013,5
Labor Day,First Monday in Sept,9/2/2013,9/2/2013,9,2,2013,2
Columbus Day,Second Monday in Oct,10/14/2013,10/14/2013,10,14,2013,2
Veterans Day,Annual,11/11/2013,11/11/2013,11,11,2013,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2013,11/28/2013,11,28,2013,5
Christmas Day,Annual,12/25/2013,12/25/2013,12,25,2013,4
New Year's Day,Year Start,1/1/2014,1/1/2014,1,1,2014,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2014,1/20/2014,1,20,2014,2
Washington's Birthday,Third Monday in Feb,2/17/2014,2/17/2014,2,17,2014,2
Memorial Day,Last Monday in May,5/26/2014,5/26/2014,5,26,2014,2
Independence Day,Annual,7/4/2014,7/4/2014,7,4,2014,6
Labor Day,First Monday in Sept,9/1/2014,9/1/2014,9,1,2014,2
Columbus Day,Second Monday in Oct,10/13/2014,10/13/2014,10,13,2014,2
Veterans Day,Annual,11/11/2014,11/11/2014,11,11,2014,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2014,11/27/2014,11,27,2014,5
Christmas Day,Annual,12/25/2014,12/25/2014,12,25,2014,5
New Year's Day,Year Start,1/1/2015,1/1/2015,1,1,2015,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2015,1/19/2015,1,19,2015,2
Washington's Birthday,Third Monday in Feb,2/16/2015,2/16/2015,2,16,2015,2
Memorial Day,Last Monday in May,5/25/2015,5/25/2015,5,25,2015,2
Independence Day,Annual,7/4/2015,7/3/2015,7,4,2015,7
Labor Day,First Monday in Sept,9/7/2015,9/7/2015,9,7,2015,2
Columbus Day,Second Monday in Oct,10/12/2015,10/12/2015,10,12,2015,2
Veterans Day,Annual,11/11/2015,11/11/2015,11,11,2015,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2015,11/26/2015,11,26,2015,5
Christmas Day,Annual,12/25/2015,12/25/2015,12,25,2015,6
New Year's Day,Year Start,1/1/2016,1/1/2016,1,1,2016,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2016,1/18/2016,1,18,2016,2
Washington's Birthday,Third Monday in Feb,2/15/2016,2/15/2016,2,15,2016,2
Memorial Day,Last Monday in May,5/23/2016,5/23/2016,5,23,2016,2
Independence Day,Annual,7/4/2016,7/4/2016,7,4,2016,2
Labor Day,First Monday in Sept,9/5/2016,9/5/2016,9,5,2016,2
Columbus Day,Second Monday in Oct,10/10/2016,10/10/2016,10,10,2016,2
Veterans Day,Annual,11/11/2016,11/11/2016,11,11,2016,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2016,11/24/2016,11,24,2016,5
Christmas Day,Annual,12/25/2016,12/26/2016,12,25,2016,1
New Year's Day,Year Start,1/1/2017,1/2/2017,1,1,2017,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2017,1/16/2017,1,16,2017,2
Washington's Birthday,Third Monday in Feb,2/20/2017,2/20/2017,2,20,2017,2
Memorial Day,Last Monday in May,5/22/2017,5/22/2017,5,22,2017,2
Independence Day,Annual,7/4/2017,7/4/2017,7,4,2017,3
Labor Day,First Monday in Sept,9/4/2017,9/4/2017,9,4,2017,2
Columbus Day,Second Monday in Oct,10/9/2017,10/9/2017,10,9,2017,2
Veterans Day,Annual,11/11/2017,11/10/2017,11,11,2017,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2017,11/23/2017,11,23,2017,5
Christmas Day,Annual,12/25/2017,12/25/2017,12,25,2017,2
New Year's Day,Year Start,1/1/2018,1/1/2018,1,1,2018,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2018,1/15/2018,1,15,2018,2
Washington's Birthday,Third Monday in Feb,2/19/2018,2/19/2018,2,19,2018,2
