Title,Occurence,Date,"Pay and Leave Holiday Date (if SAT, then FRI if SUN  then MON)",Month,Day,Year,WeekDay
Independence Day,Annual,7/4/2037,7/3/2037,7,4,2037,7
Labor Day,First Monday in Sept,9/7/2037,9/7/2037,9,7,2037,2
Columbus Day,Second Monday in Oct,10/12/2037,10/12/2037,10,12,2037,2
Veterans Day,Annual,11/11/2037,11/11/2037,11,11,2037,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2037,11/26/2037,11,26,2037,5
Christmas Day,Annual,12/25/2037,12/25/2037,12,25,2037,6
New Year's Day,Year Start,1/1/2038,1/1/2038,1,1,2038,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2038,1/18/2038,1,18,2038,2
Washington's Birthday,Third Monday in Feb,2/15/2038,2/15/2038,2,15,2038,2
Memorial Day,Last Monday in May,5/24/2038,5/24/2038,5,24,2038,2
Juneteenth National Independence Day,Annual,6/19/2038,6/18/2038,6,19,2038,7
Independence Day,Annual,7/4/2038,7/5/2038,7,4,2038,1
Labor Day,First Monday in Sept,9/6/2038,9/6/2038,9,6,2038,2
Columbus Day,Second Monday in Oct,10/11/2038,10/11/2038,10,11,2038,2
Veterans Day,Annual,11/11/2038,11/11/2038,11,11,2038,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2038,11/25/2038,11,25,2038,5
Christmas Day,Annual,12/25/2038,12/24/2038,12,25,2038,7
New Year's Day,Year Start,1/1/2039,12/31/2038,1,1,2039,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2039,1/17/2039,1,17,2039,2
Washington's Birthday,Third Monday in Feb,2/21/2039,2/21/2039,2,21,2039,2
Memorial Day,Last Monday in May,5/23/2039,5/23/2039,5,23,2039,2
Juneteenth National Independence Day,Annual,6/19/2039,6/20/2039,6,19,2039,1
Independence Day,Annual,7/4/2039,7/4/2039,7,4,2039,2
Labor Day,First Monday in Sept,9/5/2039,9/5/2039,9,5,2039,2
Columbus Day,Second Monday in Oct,10/10/2039,10/10/2039,10,10,2039,2
Veterans Day,Annual,11/11/2039,11/11/2039,11,11,2039,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2039,11/24/2039,11,24,2039,5
Christmas Day,Annual,12/25/2039,12/26/2039,12,25,2039,1
New Year's Day,Year Start,1/1/2040,1/2/2040,1,1,2040,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2040,1/16/2040,1,16,2040,2
Washington's Birthday,Third Monday in Feb,2/20/2040,2/20/2040,2,20,2040,2
Memorial Day,Last Monday in May,5/28/2040,5/28/2040,5,28,2040,2
Juneteenth National Independence Day,Annual,6/19/2040,6/19/2040,6,19,2040,3
Independence Day,Annual,7/4/2040,7/4/2040,7,4,2040,4
Labor Day,First Monday in Sept,9/3/2040,9/3/2040,9,3,2040,2
Columbus Day,Second Monday in Oct,10/8/2040,10/8/2040,10,8,2040,2
Veterans Day,Annual,11/11/2040,11/12/2040,11,11,2040,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2040,11/22/2040,11,22,2040,5
Christmas Day,Annual,12/25/2040,12/25/2040,12,25,2040,3
New Year's Day,Year Start,1/1/2041,1/1/2041,1,1,2041,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2041,1/21/2041,1,21,2041,2
Washington's Birthday,Third Monday in Feb,2/18/2041,2/18/2041,2,18,2041,2
Memorial Day,Last Monday in May,5/27/2041,5/27/2041,5,27,2041,2
Juneteenth National Independence Day,Annual,6/19/2041,6/19/2041,6,19,2041,4
Independence Day,Annual,7/4/2041,7/4/2041,7,4,2041,5
Labor Day,First Monday in Sept,9/2/2041,9/2/2041,9,2,2041,2
Columbus Day,Second Monday in Oct,10/14/2041,10/14/2041,10,14,2041,2
Veterans Day,Annual,11/11/2041,11/11/2041,11,11,2041,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2041,11/28/2041,11,28,2041,5
Christmas Day,Annual,12/25/2041,12/25/2041,12,25,2041,4
New Year's Day,Year Start,1/1/2042,1/1/2042,1,1,2042,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2042,1/20/2042,1,20,2042,2
Washington's Birthday,Third Monday in Feb,2/17/2042,2/17/2042,2,17,2042,2
Memorial Day,Last Monday in May,5/26/2042,5/26/2042,5,26,2042,2
Juneteenth National Independence Day,Annual,6/19/2042,6/19/2042,6,19,2042,5
Independence Day,Annual,7/4/2042,7/4/2042,7,4,2042,6
Labor Day,First Monday in Sept,9/1/2042,9/1/2042,9,1,2042,2
Columbus Day,Second Monday in Oct,10/13/2042,10/13/2042,10,13,2042,2
Veterans Day,Annual,11/11/2042,11/11/2042,11,11,2042,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2042,11/27/2042,11,27,2042,5
Christmas Day,Annual,12/25/2042,12/25/2042,12,25,2042,5
New Year's Day,Year Start,1/1/2043,1/1/2043,1,1,2043,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2043,1/19/2043,1,19,2043,2
Washington's Birthday,Third Monday in Feb,2/16/2043,2/16/2043,2,16,2043,2
Memorial Day,Last Monday in May,5/25/2043,5/25/2043,5,25,2043,2
Juneteenth National Independence Day,Annual,6/19/2043,6/19/2043,6,19,2043,6
Independence Day,Annual,7/4/2043,7/3/2043,7,4,2043,7
Labor Day,First Monday in Sept,9/7/2043,9/7/2043,9,7,2043,2
Columbus Day,Second Monday in Oct,10/12/2043,10/12/2043,10,12,2043,2
Veterans Day,Annual,11/11/2043,11/11/2043,11,11,2043,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2043,11/26/2043,11,26,2043,5
Christmas Day,Annual,12/25/2043,12/25/2043,12,25,2043,6
New Year's Day,Year Start,1/1/2044,1/1/2044,1,1,2044,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2044,1/18/2044,1,18,2044,2
Washington's Birthday,Third Monday in Feb,2/15/2044,2/15/2044,2,15,2044,2
Memorial Day,Last Monday in May,5/23/2044,5/23/2044,5,23,2044,2
Juneteenth National Independence Day,Annual,6/19/2044,6/20/2044,6,19,2044,1
Independence Day,Annual,7/4/2044,7/4/2044,7,4,2044,2
Labor Day,First Monday in Sept,9/5/2044,9/5/2044,9,5,2044,2
Columbus Day,Second Monday in Oct,10/10/2044,10/10/2044,10,10,2044,2
Veterans Day,Annual,11/11/2044,11/11/2044,11,11,2044,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2044,11/24/2044,11,24,2044,5
Christmas Day,Annual,12/25/2044,12/26/2044,12,25,2044,1
New Year's Day,Year Start,1/1/2045,1/2/2045,1,1,2045,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2045,1/16/2045,1,16,2045,2
Washington's Birthday,Third Monday in Feb,2/20/2045,2/20/2045,2,20,2045,2
Memorial Day,Last Monday in May,5/22/2045,5/22/2045,5,22,2045,2
Juneteenth National Independence Day,Annual,6/19/2045,6/19/2045,6,19,2045,2
Independence Day,Annual,7/4/2045,7/4/2045,7,4,2045,3
Labor Day,First Monday in Sept,9/4/2045,9/4/2045,9,4,2045,2
Columbus Day,Second Monday in Oct,10/9/2045,10/9/2045,10,9,2045,2
Veterans Day,Annual,11/11/2045,11/10/2045,11,11,2045,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2045,11/23/2045,11,23,2045,5
Christmas Day,Annual,12/25/2045,12/25/2045,12,25,2045,2
New Year's Day,Year Start,1/1/2046,1/1/2046,1,1,2046,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2046,1/15/2046,1,15,2046,2
Washington's Birthday,Third Monday in Feb,2/19/2046,2/19/2046,2,19,2046,2
Memorial Day,Last Monday in May,5/28/2046,5/28/2046,5,28,2046,2
Juneteenth National Independence Day,Annual,6/19/2046,6/19/2046,6,19,2046,3
Independence Day,Annual,7/4/2046,7/4/2046,7,4,2046,4
Labor Day,First Monday in Sept,9/3/2046,9/3/2046,9,3,2046,2
Columbus Day,Second Monday in Oct,10/8/2046,10/8/2046,10,8,2046,2
Veterans Day,Annual,11/11/2046,11/12/2046,11,11,2046,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2046,11/22/2046,11,22,2046,5
Christmas Day,Annual,12/25/2046,12/25/2046,12,25,2046,3
New Year's Day,Year Start,1/1/2047,1/1/2047,1,1,2047,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2047,1/21/2047,1,21,2047,2
Washington's Birthday,Third Monday in Feb,2/18/2047,2/18/2047,2,18,2047,2
Memorial Day,Last Monday in May,5/27/2047,5/27/2047,5,27,2047,2
Juneteenth National Independence Day,Annual,6/19/2047,6/19/2047,6,19,2047,4
Independence Day,Annual,7/4/2047,7/4/2047,7,4,2047,5
Labor Day,First Monday in Sept,9/2/2047,9/2/2047,9,2,2047,2
Columbus Day,Second Monday in Oct,10/14/2047,10/14/2047,10,14,2047,2
Veterans Day,Annual,11/11/2047,11/11/2047,11,11,2047,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2047,11/28/2047,11,28,2047,5
Christmas Day,Annual,12/25/2047,12/25/2047,12,25,2047,4
New Year's Day,Year Start,1/1/2048,1/1/2048,1,1,2048,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2048,1/20/2048,1,20,2048,2
Washington's Birthday,Third Monday in Feb,2/17/2048,2/17/2048,2,17,2048,2
Memorial Day,Last Monday in May,5/25/2048,5/25/2048,5,25,2048,2
Juneteenth National Independence Day,Annual,6/19/2048,6/19/2048,6,19,2048,6
Independence Day,Annual,7/4/2048,7/3/2048,7,4,2048,7
Labor Day,First Monday in Sept,9/7/2048,9/7/2048,9,7,2048,2
Columbus Day,Second Monday in Oct,10/12/2048,10/12/2048,10,12,2048,2
Veterans Day,Annual,11/11/2048,11/11/2048,11,11,2048,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2048,11/26/2048,11,26,2048,5
Christmas Day,Annual,12/25/2048,12/25/2048,12,25,2048,6
New Year's Day,Year Start,1/1/2049,1/1/2049,1,1,2049,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2049,1/18/2049,1,18,2049,2
Washington's Birthday,Third Monday in Feb,2/15/2049,2/15/2049,2,15,2049,2
Memorial Day,Last Monday in May,5/24/2049,5/24/2049,5,24,2049,2
Juneteenth National Independence Day,Annual,6/19/2049,6/18/2049,6,19,2049,7
Independence Day,Annual,7/4/2049,7/5/2049,7,4,2049,1
Labor Day,First Monday in Sept,9/6/2049,9/6/2049,9,6,2049,2
Columbus Day,Second Monday in Oct,10/11/2049,10/11/2049,10,11,2049,2
Veterans Day,Annual,11/11/2049,11/11/2049,11,11,2049,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2049,11/25/2049,11,25,2049,5
Christmas Day,Annual,12/25/2049,12/24/2049,12,25,2049,7
New Year's Day,Year Start,1/1/2050,12/31/2049,1,1,2050,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2050,1/17/2050,1,17,2050,2
Washington's Birthday,Third Monday in Feb,2/21/2050,2/21/2050,2,21,2050,2
Memorial Day,Last Monday in May,5/23/2050,5/23/2050,5,23,2050,2
Juneteenth National Independence Day,Annual,6/19/2050,6/20/2050,6,19,2050,1
Independence Day,Annual,7/4/2050,7/4/2050,7,4,2050,2
Labor Day,First Monday in Sept,9/5/2050,9/5/2050,9,5,2050,2
Columbus Day,Second Monday in Oct,10/10/2050,10/10/2050,10,10,2050,2
Veterans Day,Annual,11/11/2050,11/11/2050,11,11,2050,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2050,11/24/2050,11,24,2050,5
Christmas Day,Annual,12/25/2050,12/26/2050,12,25,2050,1
New Year's Day,Year Start,1/1/2051,1/2/2051,1,1,2051,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2051,1/16/2051,1,16,2051,2
Washington's Birthday,Third Monday in Feb,2/20/2051,2/20/2051,2,20,2051,2
Memorial Day,Last Monday in May,5/22/2051,5/22/2051,5,22,2051,2
Juneteenth National Independence Day,Annual,6/19/2051,6/19/2051,6,19,2051,2
Independence Day,Annual,7/4/2051,7/4/2051,7,4,2051,3
Labor Day,First Monday in Sept,9/4/2051,9/4/2051,9,4,2051,2
Columbus Day,Second Monday in Oct,10/9/2051,10/9/2051,10,9,2051,2
Veterans Day,Annual,11/11/2051,11/10/2051,11,11,2051,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2051,11/23/2051,11,23,2051,5
Christmas Day,Annual,12/25/2051,12/25/2051,12,25,2051,2
New Year's Day,Year Start,1/1/2052,1/1/2052,1,1,2052,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2052,1/15/2052,1,15,2052,2
Washington's Birthday,Third Monday in Feb,2/19/2052,2/19/2052,2,19,2052,2
Memorial Day,Last Monday in May,5/27/2052,5/27/2052,5,27,2052,2
Juneteenth National Independence Day,Annual,6/19/2052,6/19/2052,6,19,2052,4
Independence Day,Annual,7/4/2052,7/4/2052,7,4,2052,5
Labor Day,First Monday in Sept,9/2/2052,9/2/2052,9,2,2052,2
Columbus Day,Second Monday in Oct,10/14/2052,10/14/2052,10,14,2052,2
Veterans Day,Annual,11/11/2052,11/11/2052,11,11,2052,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2052,11/28/2052,11,28,2052,5
Christmas Day,Annual,12/25/2052,12/25/2052,12,25,2052,4
New Year's Day,Year Start,1/1/2053,1/1/2053,1,1,2053,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2053,1/20/2053,1,20,2053,2
Washington's Birthday,Third Monday in Feb,2/17/2053,2/17/2053,2,17,2053,2
Memorial Day,Last Monday in May,5/26/2053,5/26/2053,5,26,2053,2
Juneteenth National Independence Day,Annual,6/19/2053,6/19/2053,6,19,2053,5
Independence Day,Annual,7/4/2053,7/4/2053,7,4,2053,6
Labor Day,First Monday in Sept,9/1/2053,9/1/2053,9,1,2053,2
Columbus Day,Second Monday in Oct,10/13/2053,10/13/2053,10,13,2053,2
Veterans Day,Annual,11/11/2053,11/11/2053,11,11,2053,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2053,11/27/2053,11,27,2053,5
Christmas Day,Annual,12/25/2053,12/25/2053,12,25,2053,5
New Year's Day,Year Start,1/1/2054,1/1/2054,1,1,2054,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2054,1/19/2054,1,19,2054,2
Washington's Birthday,Third Monday in Feb,2/16/2054,2/16/2054,2,16,2054,2
Memorial Day,Last Monday in May,5/25/2054,5/25/2054,5,25,2054,2
Juneteenth National Independence Day,Annual,6/19/2054,6/19/2054,6,19,2054,6
Independence Day,Annual,7/4/2054,7/3/2054,7,4,2054,7
Labor Day,First Monday in Sept,9/7/2054,9/7/2054,9,7,2054,2
Columbus Day,Second Monday in Oct,10/12/2054,10/12/2054,10,12,2054,2
Veterans Day,Annual,11/11/2054,11/11/2054,11,11,2054,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2054,11/26/2054,11,26,2054,5
Christmas Day,Annual,12/25/2054,12/25/2054,12,25,2054,6
New Year's Day,Year Start,1/1/2055,1/1/2055,1,1,2055,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2055,1/18/2055,1,18,2055,2
Washington's Birthday,Third Monday in Feb,2/15/2055,2/15/2055,2,15,2055,2
Memorial Day,Last Monday in May,5/24/2055,5/24/2055,5,24,2055,2
Juneteenth National Independence Day,Annual,6/19/2055,6/18/2055,6,19,2055,7
Independence Day,Annual,7/4/2055,7/5/2055,7,4,2055,1
Labor Day,First Monday in Sept,9/6/2055,9/6/2055,9,6,2055,2
Columbus Day,Second Monday in Oct,10/11/2055,10/11/2055,10,11,2055,2
Veterans Day,Annual,11/11/2055,11/11/2055,11,11,2055,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2055,11/25/2055,11,25,2055,5
Christmas Day,Annual,12/25/2055,12/24/2055,12,25,2055,7
New Year's Day,Year Start,1/1/2056,12/31/2055,1,1,2056,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2056,1/17/2056,1,17,2056,2
Washington's Birthday,Third Monday in Feb,2/21/2056,2/21/2056,2,21,2056,2
Memorial Day,Last Monday in May,5/22/2056,5/22/2056,5,22,2056,2
Juneteenth National Independence Day,Annual,6/19/2056,6/19/2056,6,19,2056,2
Independence Day,Annual,7/4/2056,7/4/2056,7,4,2056,3
Labor Day,First Monday in Sept,9/4/2056,9/4/2056,9,4,2056,2
Columbus Day,Second Monday in Oct,10/9/2056,10/9/2056,10,9,2056,2
Veterans Day,Annual,11/11/2056,11/10/2056,11,11,2056,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2056,11/23/2056,11,23,2056,5
Christmas Day,Annual,12/25/2056,12/25/2056,12,25,2056,2
New Year's Day,Year Start,1/1/2057,1/1/2057,1,1,2057,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2057,1/15/2057,1,15,2057,2
Washington's Birthday,Third Monday in Feb,2/19/2057,2/19/2057,2,19,2057,2
Memorial Day,Last Monday in May,5/28/2057,5/28/2057,5,28,2057,2
Juneteenth National Independence Day,Annual,6/19/2057,6/19/2057,6,19,2057,3
Independence Day,Annual,7/4/2057,7/4/2057,7,4,2057,4
Labor Day,First Monday in Sept,9/3/2057,9/3/2057,9,3,2057,2
Columbus Day,Second Monday in Oct,10/8/2057,10/8/2057,10,8,2057,2
Veterans Day,Annual,11/11/2057,11/12/2057,11,11,2057,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2057,11/22/2057,11,22,2057,5
Christmas Day,Annual,12/25/2057,12/25/2057,12,25,2057,3
New Year's Day,Year Start,1/1/2058,1/1/2058,1,1,2058,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2058,1/21/2058,1,21,2058,2
Washington's Birthday,Third Monday in Feb,2/18/2058,2/18/2058,2,18,2058,2
Memorial Day,Last Monday in May,5/27/2058,5/27/2058,5,27,2058,2
Juneteenth National Independence Day,Annual,6/19/2058,6/19/2058,6,19,2058,4
Independence Day,Annual,7/4/2058,7/4/2058,7,4,2058,5
Labor Day,First Monday in Sept,9/2/2058,9/2/2058,9,2,2058,2
Columbus Day,Second Monday in Oct,10/14/2058,10/14/2058,10,14,2058,2
Veterans Day,Annual,11/11/2058,11/11/2058,11,11,2058,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2058,11/28/2058,11,28,2058,5
Christmas Day,Annual,12/25/2058,12/25/2058,12,25,2058,4
New Year's Day,Year Start,1/1/2059,1/1/2059,1,1,2059,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2059,1/20/2059,1,20,2059,2
Washington's Birthday,Third Monday in Feb,2/17/2059,2/17/2059,2,17,2059,2
Memorial Day,Last Monday in May,5/26/2059,5/26/2059,5,26,2059,2
Juneteenth National Independence Day,Annual,6/19/2059,6/19/2059,6,19,2059,5
Independence Day,Annual,7/4/2059,7/4/2059,7,4,2059,6
Labor Day,First Monday in Sept,9/1/2059,9/1/2059,9,1,2059,2
Columbus Day,Second Monday in Oct,10/13/2059,10/13/2059,10,13,2059,2
Veterans Day,Annual,11/11/2059,11/11/2059,11,11,2059,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2059,11/27/2059,11,27,2059,5
Christmas Day,Annual,12/25/2059,12/25/2059,12,25,2059,5
New Year's Day,Year Start,1/1/2060,1/1/2060,1,1,2060,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2060,1/19/2060,1,19,2060,2
Washington's Birthday,Third Monday in Feb,2/16/2060,2/16/2060,2,16,2060,2
Memorial Day,Last Monday in May,5/24/2060,5/24/2060,5,24,2060,2
Juneteenth National Independence Day,Annual,6/19/2060,6/18/2060,6,19,2060,7
Independence Day,Annual,7/4/2060,7/5/2060,7,4,2060,1
Labor Day,First Monday in Sept,9/6/2060,9/6/2060,9,6,2060,2
Columbus Day,Second Monday in Oct,10/11/2060,10/11/2060,10,11,2060,2
Veterans Day,Annual,11/11/2060,11/11/2060,11,11,2060,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2060,11/25/2060,11,25,2060,5
Christmas Day,Annual,12/25/2060,12/24/2060,12,25,2060,7
New Year's Day,Year Start,1/1/2061,12/31/2060,1,1,2061,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2061,1/17/2061,1,17,2061,2
Washington's Birthday,Third Monday in Feb,2/21/2061,2/21/2061,2,21,2061,2
Memorial Day,Last Monday in May,5/23/2061,5/23/2061,5,23,2061,2
Juneteenth National Independence Day,Annual,6/19/2061,6/20/2061,6,19,2061,1
Independence Day,Annual,7/4/2061,7/4/2061,7,4,2061,2
Labor Day,First Monday in Sept,9/5/2061,9/5/2061,9,5,2061,2
Columbus Day,Second Monday in Oct,10/10/2061,10/10/2061,10,10,2061,2
Veterans Day,Annual,11/11/2061,11/11/2061,11,11,2061,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2061,11/24/2061,11,24,2061,5
Christmas Day,Annual,12/25/2061,12/26/2061,12,25,2061,1
New Year's Day,Year Start,1/1/2062,1/2/2062,1,1,2062,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2062,1/16/2062,1,16,2062,2
Washington's Birthday,Third Monday in Feb,2/20/2062,2/20/2062,2,20,2062,2
Memorial Day,Last Monday in May,5/22/2062,5/22/2062,5,22,2062,2
Juneteenth National Independence Day,Annual,6/19/2062,6/19/2062,6,19,2062,2
Independence Day,Annual,7/4/2062,7/4/2062,7,4,2062,3
Labor Day,First Monday in Sept,9/4/2062,9/4/2062,9,4,2062,2
Columbus Day,Second Monday in Oct,10/9/2062,10/9/2062,10,9,2062,2
Veterans Day,Annual,11/11/2062,11/10/2062,11,11,2062,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2062,11/23/2062,11,23,2062,5
Christmas Day,Annual,12/25/2062,12/25/2062,12,25,2062,2
New Year's Day,Year Start,1/1/2063,1/1/2063,1,1,2063,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2063,1/15/2063,1,15,2063,2
Washington's Birthday,Third Monday in Feb,2/19/2063,2/19/2063,2,19,2063,2
Memorial Day,Last Monday in May,5/28/2063,5/28/2063,5,28,2063,2
Juneteenth National Independence Day,Annual,6/19/2063,6/19/2063,6,19,2063,3
Independence Day,Annual,7/4/2063,7/4/2063,7,4,2063,4
Labor Day,First Monday in Sept,9/3/2063,9/3/2063,9,3,2063,2
Columbus Day,Second Monday in Oct,10/8/2063,10/8/2063,10,8,2063,2
Veterans Day,Annual,11/11/2063,11/12/2063,11,11,2063,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2063,11/22/2063,11,22,2063,5
Christmas Day,Annual,12/25/2063,12/25/2063,12,25,2063,3
New Year's Day,Year Start,1/1/2064,1/1/2064,1,1,2064,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2064,1/21/2064,1,21,2064,2
Washington's Birthday,Third Monday in Feb,2/18/2064,2/18/2064,2,18,2064,2
Memorial Day,Last Monday in May,5/26/2064,5/26/2064,5,26,2064,2
Juneteenth National Independence Day,Annual,6/19/2064,6/19/2064,6,19,2064,5
Independence Day,Annual,7/4/2064,7/4/2064,7,4,2064,6
Labor Day,First Monday in Sept,9/1/2064,9/1/2064,9,1,2064,2
Columbus Day,Second Monday in Oct,10/13/2064,10/13/2064,10,13,2064,2
Veterans Day,Annual,11/11/2064,11/11/2064,11,11,2064,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2064,11/27/2064,11,27,2064,5
Christmas Day,Annual,12/25/2064,12/25/2064,12,25,2064,5
New Year's Day,Year Start,1/1/2065,1/1/2065,1,1,2065,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2065,1/19/2065,1,19,2065,2
Washington's Birthday,Third Monday in Feb,2/16/2065,2/16/2065,2,16,2065,2
Memorial Day,Last Monday in May,5/25/2065,5/25/2065,5,25,2065,2
Juneteenth National Independence Day,Annual,6/19/2065,6/19/2065,6,19,2065,6
Independence Day,Annual,7/4/2065,7/3/2065,7,4,2065,7
Labor Day,First Monday in Sept,9/7/2065,9/7/2065,9,7,2065,2
Columbus Day,Second Monday in Oct,10/12/2065,10/12/2065,10,12,2065,2
Veterans Day,Annual,11/11/2065,11/11/2065,11,11,2065,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2065,11/26/2065,11,26,2065,5
Christmas Day,Annual,12/25/2065,12/25/2065,12,25,2065,6
New Year's Day,Year Start,1/1/2066,1/1/2066,1,1,2066,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2066,1/18/2066,1,18,2066,2
Washington's Birthday,Third Monday in Feb,2/15/2066,2/15/2066,2,15,2066,2
Memorial Day,Last Monday in May,5/24/2066,5/24/2066,5,24,2066,2
Juneteenth National Independence Day,Annual,6/19/2066,6/18/2066,6,19,2066,7
Independence Day,Annual,7/4/2066,7/5/2066,7,4,2066,1
Labor Day,First Monday in Sept,9/6/2066,9/6/2066,9,6,2066,2
Columbus Day,Second Monday in Oct,10/11/2066,10/11/2066,10,11,2066,2
Veterans Day,Annual,11/11/2066,11/11/2066,11,11,2066,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2066,11/25/2066,11,25,2066,5
Christmas Day,Annual,12/25/2066,12/24/2066,12,25,2066,7
New Year's Day,Year Start,1/1/2067,12/31/2066,1,1,2067,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2067,1/17/2067,1,17,2067,2
Washington's Birthday,Third Monday in Feb,2/21/2067,2/21/2067,2,21,2067,2
Memorial Day,Last Monday in May,5/23/2067,5/23/2067,5,23,2067,2
Juneteenth National Independence Day,Annual,6/19/2067,6/20/2067,6,19,2067,1
Independence Day,Annual,7/4/2067,7/4/2067,7,4,2067,2
Labor Day,First Monday in Sept,9/5/2067,9/5/2067,9,5,2067,2
Columbus Day,Second Monday in Oct,10/10/2067,10/10/2067,10,10,2067,2
Veterans Day,Annual,11/11/2067,11/11/2067,11,11,2067,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2067,11/24/2067,11,24,2067,5
Christmas Day,Annual,12/25/2067,12/26/2067,12,25,2067,1
New Year's Day,Year Start,1/1/2068,1/2/2068,1,1,2068,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2068,1/16/2068,1,16,2068,2
Washington's Birthday,Third Monday in Feb,2/20/2068,2/20/2068,2,20,2068,2
Memorial Day,Last Monday in May,5/28/2068,5/28/2068,5,28,2068,2
Juneteenth National Independence Day,Annual,6/19/2068,6/19/2068,6,19,2068,3
Independence Day,Annual,7/4/2068,7/4/2068,7,4,2068,4
Labor Day,First Monday in Sept,9/3/2068,9/3/2068,9,3,2068,2
Columbus Day,Second Monday in Oct,10/8/2068,10/8/2068,10,8,2068,2
Veterans Day,Annual,11/11/2068,11/12/2068,11,11,2068,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2068,11/22/2068,11,22,2068,5
Christmas Day,Annual,12/25/2068,12/25/2068,12,25,2068,3
New Year's Day,Year Start,1/1/2069,1/1/2069,1,1,2069,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2069,1/21/2069,1,21,2069,2
Washington's Birthday,Third Monday in Feb,2/18/2069,2/18/2069,2,18,2069,2
Memorial Day,Last Monday in May,5/27/2069,5/27/2069,5,27,2069,2
Juneteenth National Independence Day,Annual,6/19/2069,6/19/2069,6,19,2069,4
Independence Day,Annual,7/4/2069,7/4/2069,7,4,2069,5
Labor Day,First Monday in Sept,9/2/2069,9/2/2069,9,2,2069,2
Columbus Day,Second Monday in Oct,10/14/2069,10/14/2069,10,14,2069,2
Veterans Day,Annual,11/11/2069,11/11/2069,11,11,2069,2
