iter	MultiClass
0	1.082539638
1	1.069397138
2	1.053703908
3	1.041155298
4	1.032900976
5	1.025855897
6	1.018859363
7	1.010772837
8	1.002219948
9	0.995327776
10	0.9867285392
11	0.9809740851
12	0.9756998926
13	0.9698973194
14	0.9650297347
15	0.9600341863
16	0.9541882573
17	0.948644803
18	0.9447120336
19	0.9407175362
20	0.9372825378
21	0.9333467831
22	0.9295265748
23	0.9275093221
24	0.9237514947
25	0.9186102249
26	0.9160767597
27	0.9136139539
28	0.9104690923
29	0.9071675632
30	0.9044294737
31	0.9010132566
32	0.8986179985
33	0.8959478288
34	0.8932276722
35	0.8904423226
36	0.8869975339
37	0.8846909249
38	0.8825162141
39	0.8802461715
40	0.8775731624
41	0.8756317616
42	0.8736394852
43	0.8723732368
44	0.8698472387
45	0.8672742666
46	0.8646382142
47	0.8618847519
48	0.8600605344
49	0.8586095745
50	0.8564124837
51	0.8533081987
52	0.8521878312
53	0.850158647
54	0.8479032606
55	0.8459073364
56	0.8440653185
57	0.8424499974
58	0.840705171
59	0.838444297
60	0.8367470629
61	0.8349256031
62	0.8331315105
63	0.8309293277
64	0.8292035127
65	0.826035311
66	0.823818427
67	0.8227737338
68	0.8206598054
69	0.8189479924
70	0.8168606833
71	0.815721162
72	0.8140132137
73	0.8118066941
74	0.8103719645
75	0.8090583082
76	0.8069600276
77	0.8048314678
78	0.8033767017
79	0.8021272269
80	0.7994926511
81	0.7979761387
82	0.7957717654
83	0.7939073009
84	0.7920829693
85	0.7897423749
86	0.7880685368
87	0.7869758596
88	0.7857322244
89	0.7833678932
90	0.7804785326
91	0.7783548524
92	0.7765046043
93	0.7747411964
94	0.7733894235
95	0.7709779555
96	0.768639722
97	0.7664231309
98	0.7647749807
99	0.7638359475
100	0.7618298947
101	0.7591625367
102	0.757215218
103	0.7548463191
104	0.7524405615
105	0.7504623027
106	0.7489842236
107	0.7469966856
108	0.7449456339
109	0.7436609432
110	0.7421563383
111	0.7398094278
112	0.7381003506
113	0.7360114236
114	0.7337980312
115	0.7319754936
116	0.7304060265
117	0.7277769106
118	0.7256409533
119	0.7238521313
120	0.7217291241
121	0.7203330303
122	0.7187663022
123	0.7174796425
124	0.7160407041
125	0.7147604533
126	0.7136010212
127	0.7118273404
128	0.7081714796
129	0.7061203413
130	0.7046888452
131	0.7010898015
132	0.6981283023
133	0.6964109332
134	0.6952165611
135	0.693714901
136	0.6922383468
137	0.6894357025
138	0.688278573
139	0.6867945679
140	0.6841382895
141	0.6828145415
142	0.681085118
143	0.6797465651
144	0.6786943877
145	0.6767620333
146	0.6754574112
147	0.6743390371
148	0.6729578927
149	0.6714207243
150	0.6694119778
151	0.6674029148
152	0.6659895561
153	0.6637604051
154	0.6627931195
155	0.6612039022
156	0.6586287188
157	0.6562063977
158	0.6548970013
159	0.6532517455
160	0.652214969
161	0.6509389239
162	0.6495154758
163	0.6470947121
164	0.6444297
165	0.6432478278
166	0.6418771425
167	0.6404420777
168	0.6380275352
169	0.6364892361
170	0.6351804941
171	0.6338288108
172	0.6320567695
173	0.6304754577
174	0.628648117
175	0.6274922345
176	0.6261890091
177	0.625157996
178	0.6241460881
179	0.6218431592
